bbbb aaaa   /// ///   ffff eeee   hhhh gggg   llll kkkk
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
gzem kkkk   NULL NULL   NULL NULL   NULL NULL   NULL NULL
bbbb xxxx   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
gzem yeni   esma pppp   NULL NULL   NULL NULL   NULL NULL
mrve zzzz   NULL NULL   NULL NULL   NULL NULL   NULL NULL
glsm yyyy   NULL NULL   NULL NULL   NULL NULL   NULL NULL
seco eski   NULL NULL   NULL NULL   NULL NULL   NULL NULL
gnca rrrr   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
glzr vvvv   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
NULL NULL   NULL NULL   NULL NULL   NULL NULL   NULL NULL
