Raf Numarasi    B1    B2    B3    B4    B5 
       0       ///  ///  ///  120  ///
       1       NULL  NULL  NULL  NULL  NULL
       2       ///  NULL  NULL  NULL  NULL
       3       ///  NULL  NULL  NULL  NULL
       4       NULL  NULL  NULL  NULL  NULL
       5       35  125  NULL  NULL  NULL
       6       96  NULL  NULL  NULL  NULL
       7       127  NULL  NULL  NULL  NULL
       8       68  NULL  NULL  NULL  NULL
       9       159  NULL  NULL  NULL  NULL
      10       NULL  NULL  NULL  NULL  NULL
      11       NULL  NULL  NULL  NULL  NULL
      12       NULL  NULL  NULL  NULL  NULL
      13       NULL  NULL  NULL  NULL  NULL
      14       NULL  NULL  NULL  NULL  NULL
      15       NULL  NULL  NULL  NULL  NULL
      16       NULL  NULL  NULL  NULL  NULL
      17       167  NULL  NULL  NULL  NULL
      18       NULL  NULL  NULL  NULL  NULL
      19       NULL  NULL  NULL  NULL  NULL
      20       NULL  NULL  NULL  NULL  NULL
      21       NULL  NULL  NULL  NULL  NULL
      22       NULL  NULL  NULL  NULL  NULL
      23       NULL  NULL  NULL  NULL  NULL
      24       NULL  NULL  NULL  NULL  NULL
      25       NULL  NULL  NULL  NULL  NULL
      26       NULL  NULL  NULL  NULL  NULL
      27       NULL  NULL  NULL  NULL  NULL
      28       NULL  NULL  NULL  NULL  NULL
      29       NULL  NULL  NULL  NULL  NULL
